Facility Code,Facility Name,Province,County,District,Division,Type,Owner,Location,Sub Location,Description of Location,Constituency,Nearest Town,Beds,Cots,Official Landline,Official Fax,Official Mobile,Official Email,Official Address,Official Alternate No,Town,Post Code,In Charge,Job Title of in Charge,Open 24 Hours,Open Weekends,Operational Status,ANC,ART,BEOC,BLOOD,CAES SEC,CEOC,C-IMCI,EPI,FP,GROWM,HBC,HCT,IPD,OPD,OUTREACH,PMTCT,RAD/XRAY,RHTC/RHDC,TB DIAG,TB LABS,TB TREAT,YOUTH
12111,Jordan Medical Clinic (Kangundo),Eastern,Machakos,Kangundo,Kangundo,Medical Clinic,Private Enterprise (Institution),Kangundo,Kangundo,,KANGUNDO,Kangundo,0,0,,,,,,,,,Nzivo,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
18570,Jordan Medical Clinic (Ruiru),Central,Kiambu,Ruiru,Ruiru,Medical Clinic,Private Practice - Nurse / Midwife,Ruiru,Gitothua,Waatalum Waira stage Near Moon Hunters building,JUJA,Ruiru Town,0,0,,,0733247236,,,,Ruiru,00232,Hanna Syombua Ngure,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12113,Josan Medical Clinic,Eastern,Tharaka Nithi,Tharaka South,Nkondi,Medical Clinic,Private Practice - Clinical Officer,Nkondi,Nkondi,Nkondi Township,THARAKA,Nkondi,0,0,,,,,P.O Box  2617,,Meru,60200,Joseph Mwathi,Clinical Officer,N,N,Operational,,,,,,,,,Y,,,,,,,,,,,,,
16837,Josca Medical Centre & Laboratory,Eastern,Meru,Meru Central,Abothuguchi Central,Medical Clinic,Private Enterprise (Institution),Kariene,Kariene,,CENTRAL IMENTI,Kariene Market,0,0,,,,,,,,,Lilian Muthoni Muketha,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
14599,Josdidas Medicare,Rift Valley,Kajiado,Kajiado North,Ngong,Medical Clinic,Private Practice - Nurse / Midwife,Kiserian,Kiserian,Ngong Kiserian Road,KAJIADO NORTH,Kiserian,0,0,,,0734-317216,,,,,00206,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
10379,Joshua Memorial Mbai Dispensary,Central,Kirinyaga,Kirinyaga East,Gichugu,Dispensary,Ministry of Health,Ngariama,Rung'eto,Situated in Githure town,GICHUGU,Githure,0,0,,,,,P.O Box 18,,Kianyaga ,10301,Moories Mutua,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
16586,Joska Medical Care,Eastern,Meru,Imenti North,Miriga Mieru East,Medical Clinic,Private Enterprise (Institution),Thuura,Thuura,,NORTH IMENTI,Meru,0,0,,,0720-275028,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
16227,Joska Medical Care Clinic,Eastern,Meru,Imenti North,Miriga Mieru East,Medical Clinic,Private Enterprise (Institution),Thuura,Thuura,,NORTH IMENTI,Meru,0,0,,,0720-275028,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
10380,Joskae Clinic Kibingoti,Central,Kirinyaga,Kirinyaga West,Ndia West,Medical Clinic,Private Practice - Nurse / Midwife,Kiini North,Nguguini,Kibingoti town 3kms from Sagana town,NDIA,Kibingoti,0,0,,,,,P.O Box 556,,Karatina,10100,Joseph Kariuki,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19814,Joskar CFW Clinic (Kibingiti),Central,Kirinyaga,Kirinyaga West,,Medical Clinic,Private Practice - Unspecified,,,,NDIA,,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19300,Josnik Clinic,Nairobi,Nairobi,Kasarani,Kasarani,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,ust behind auncle sams bar,KASARANI,just behind auncle sams bar,0,0,,,,,,,,,silvester Kaniaru,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
14600,Joster Medical Clinic,Rift Valley,Kajiado,Kajiado North,Ngong,Medical Clinic,Private Practice - General Practitioner,Kiserian,Kiserian,Kiserian Township,KAJIADO NORTH,Kiserian,0,0,,,0722-646365,,P.O Box 163,,Kiserian,00206,Mwangi,Nursing Officer in Charge,N,N,Operational,,,,,,,Y,,Y,,,,,,,,,,,,,
19686,Jowabu Modern Med Lab,Rift Valley,Trans Nzoia,Trans Nzoia West,Central,Laboratory (Stand-alone),Private Practice - General Practitioner,Municipality,Kipsongo,Within Kitale town behind Easy Coach/former Akamba bus booking office,SABOTI,Within Kitale town ,0,0,,,,,,,Kitale,30200,Mr. Humphrey Mwole,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
17981,Jowama Medical Clinic,Central,Kiambu,Kiambu,Kiambaa,Medical Clinic,Private Practice - General Practitioner,Riabai,Riabai,,KIAMBAA,Kiambu Town,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
17355,Jowhar Dispensary,North Eastern,Wajir,Tarbaj,Kutulo,Dispensary,Ministry of Health,Dasheq,Jowhar,Along Wajir Bor Road,WAJIR EAST,Wajir,0,0,,,,,P.O Box 2 Wajir,,Wajir,70200,,,N/A,N/A,Operational,,,,,,,,,,,,,,,,,,,,,,
12937,Family Care Clinic Kasarani,Nairobi,Nairobi,Kasarani,Kasarani,Dispensary,Private Enterprise (Institution),Githurai,,,KASARANI,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19137,Family Care Doctor's Plaza,Eastern,Meru,Imenti North,Mirigamieru West,Medical Clinic,Private Practice - Medical Specialist,Municipality,Township,,NORTH IMENTI,Meru Town,0,0,,,0756492875,,P.O Box 282,,Nairobi,00202,Dr. Ombati,Doctor In Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
12942,Family Care Medical Centre & Maternity,Nairobi,Nairobi,Langata,Lang'ata,Maternity Home,Non-Governmental Organizations,Nairobi West,Nairobi West,Maai Mahiu rd. of fLang'ata rd Mbagathi Way roundabout,LANG'ATA,Nairobi west shopping center,20,0,,,020604296,,P.O Box 30581,020604297,Nairobi,00100,Rose Ngahu,Nursing Officer in Charge,Y,Y,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
12015,Family Care Medical Centre (Meru),Eastern,Meru,Imenti North,Miriga Mieru West,Medical Clinic,Non-Governmental Organizations,Municipality,Township,"The facility is located next to Pig and Whistle Hotel, Meru, Kithaku road.",NORTH IMENTI,Meru,0,0,064-32280,,,meru@fhok.org,P.O Box  768,,Meru,60200,Timothy N. Wachira,Clinical Officer,N,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
13140,Family Care Medical Centre (Phoenix),Nairobi,Nairobi,Kamukunji,City Square,Medical Clinic,Non-Governmental Organizations,Central Business District,,Located at Phoenix House along Kenyatta Avenue,STAREHE,Nairobi,0,0,,,0724761711,phoenix@fhok.org,P.O Box 30108,,Nairobi,00600,Cecilia Rincuni,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
19328,Family Care Medical Centre Eye Clinic,Eastern,Meru,Imenti North,Mirigamieru West,Medical Clinic,Private Practice - Medical Specialist,Municipality,Township,Housed at Family Care Medical Center,NORTH IMENTI,Meru Town,0,0,,,,,,,,,Dr. Mpekethu Migaine,Doctor In Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
10178,Family Care Medical Clinic,Central,Kiambu,Ruiru,Githurai,Medical Clinic,Private Practice - Nurse / Midwife,Gikumari,Gatong'ora,Along Ruiru Kwihota Road adjacent to Kwihota Catholic Church.,JUJA,Kimbo town,0,0,,,0721-300039,,P.O Box  1121,,Ruiru,00232,Anastacia Gathoni Kimani,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
18755,Family Dental Care (Ayany),Nairobi,Nairobi,Langata,Lang'ata,Medical Clinic,Private Practice - Medical Specialist,Sarang'ombe,Kianda,"Kibera Drive, Ayany Estate, Jamii Villas.",LANG'ATA,,0,0,,,0734733651,,P.O Box 233381,,Nairobi,00100,Dr.Odupoy,Doctor In Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
10179,Family Dental Clinic,Central,Kirinyaga,Kirinyaga Central,Central,Dental Clinic,Private Enterprise (Institution),Kerugoya,Kaguyu,Located at Njuwa plaza,KERUGOYA/KUTUS,Kerugoya,0,0,,,,,P.O Box 281,,Kerugoya,10300,Dr. S.K. Manyeki,Doctor In Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
15888,Family Health Care Clinic,Western,Kakamega,Kakamega Central (Lurambi),Municipality,Medical Clinic,Private Enterprise (Institution),Sheywe,Township, On Kholera House - opposite Mama Watoto Supermarket at Kakamega Town,LURAMBI,Kakamege Town,0,0,,,0722-867785,,P.O Box P.O. Box 454,,Kakamega,50100,Dr. Bakunda,Doctor In Charge,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
18239,Family Health Centre (Embu),Eastern,Embu,Embu West,Central,Medical Clinic,Private Practice - Nurse / Midwife,Municipality,Dallas/ Stadium,Mama Ngina street Rurima building 3rd floor,MANYATTA,Embu,0,0,06831605,,0712686034,,P.O Box 326,0736400052,Embu,60100,Egla Njeru,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
10180,Family Health Clinic,Central,Nyeri,Kieni West,Kieni West,Medical Clinic,Private Enterprise (Institution),Mweiga,Mweiga,,KIENI,Mweiga ,0,0,,,,,,,,,James Wanjohi,,N,N,Operational,,,,,,,,,Y,,,,,,,,,,,,,
10181,Family Health Clinic (Nyeri South),Central,Nyeri,Nyeri Central,Municipality,Medical Clinic,Private Enterprise (Institution),Mukaro,Majengo,,NYERI TOWN,Nyeri Town,0,0,,,,,,,Nyeri,10100,,,N,N,Not-Operational,,,,,,,,,,,,,,,,,,,,,,
14492,Family Health Opition Kenya Clinic (Buret),Rift Valley,Kericho,Bureti,Roret,Medical Clinic,Private Enterprise (Institution),Kisiara,Roret,,BURET,Roret,0,0,052-20092,,,,P.O Box 177,,Litein,,Emily Tonui,,N,N,Operational,,,,,,,,,Y,,,,,,,,,,,,,
18217,Family Health Option of Kenya,Nairobi,Nairobi,Kamukunji,Eastleigh North,Medical Clinic,Non-Governmental Organizations,Eastleigh North,,st Teresa Church opposite Mama Fatuma childrens home,KAMUKUNJI,St Teresa Parish,0,0,0206762201,,0723703804,nycc@fhok.org,P.O Box 30581,0206003927,Nairobi,00100,Angela Tatua,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
16348,Family Health Options Kenya (Eldoret),Rift Valley,Uasin Gishu,Eldoret East,Ainapkoi,Health Centre,Private Enterprise (Institution),Chepkoilel,Chepkoilel,Opposite Kittmat House,ELDORET EAST,Eldoret,21,7,053206292,,,,P.O Box 907,,Eldoret,,Dr.Muraga,Doctor In Charge,Y,Y,Operational,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,
11375,Family Health Options Kenya (FHOK) Mombasa,Coast,Mombasa,Mvita,Island,Dispensary,Non-Governmental Organizations,Mwembe Tayari,Mwembe Tayari,"Digo Road, Opposite CFC Stanbic Bank - Fimbo Building",MVITA,Mombasa,0,0,0412227627,,0701140437,coast@fhok.org,P.O Box 98223,,Mombasa,80100,Mariam M. Haji,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,Y,,Y,,,,,,,,,
13552,Family Health Options Kenya (FHOPK) Dispensary,Nyanza,Kisumu,Kisumu East,Winam,Dispensary,Non-Governmental Organizations,West Kolwa,Nyalenda A,,KISUMU TOWN EAST,Kisumu,0,0,,,,,P.O Box 1109,,Kisumu,40100,Eric Wafula,Clinical Officer,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
16756,Family Health Options Kenya Clinic,Central,Kiambu,Thika West,Thika  West,Medical Clinic,Non-Governmental Organizations,Biashara,Township,along workshop road next to shell petrol station,JUJA,Thika town,0,0,06721935,02060038,0202034327,thika@fhok.org,,,217,01000,Dr.Daniel Kamau,Doctor In Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
12939,Family Health Options Phoenix,Nairobi,Nairobi,Starehe,Central,Dispensary,Non-Governmental Organizations,Central Business District,,,STAREHE,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,Y,,,,,,,,,Y,,,,,,,,,,,
12940,Family Health Options Ribeiro,Nairobi,Nairobi,Starehe,Central,Dispensary,Non-Governmental Organizations,Central Business District,,,STAREHE,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,Y,,,,,,,,,Y,,,,,,,,,,,
14177,Family Healthoptions Kenya (Nakuru),Rift Valley,Nakuru,Nakuru,Municipality,Health Centre,Non-Governmental Organizations,Municipality,Viwanda,next to Menengai high school,NAKURU TOWN,Nakuru Town,0,0,051221945,,,,P.O Box P.O. Box 1226 ,,Nakuru,20100,Mr Ocharo,Clinical Officer,N,Y,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
12941,Family Life Promotions and Services,Nairobi,Nairobi,Kamukunji,Bahati,Dispensary,Non-Governmental Organizations,Jerusalem,Bahati,Near Dr Livingstone Primary School,KAMUKUNJI,"Nairobi,Jerusalem shopping centre",3,1,,,0726098490,mrymathenge@yahoo.com,P.O Box 1158,,Nairobi,00100,Mary Mathenge,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
10313,Heshima Clinic,Central,Kirinyaga,Kirinyaga East,Gichugu,Medical Clinic,Private Practice - Nurse / Midwife,Ngariama,Rung'eto,Located at Githure market,GICHUGU,Githure,0,0,,,,,P.O Box 1636,,Embu,,Mathew Ireri,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,,,,,,,,,,
10314,Heshima Medical Clinic,Central,Nyeri,Mathira East,Mathira,Medical Clinic,Private Practice - Nurse / Midwife,Chehe,,,MATHIRA,Iriaini,0,0,,,0723-770415,,,,,,Teresa Wambui,,N,N,Operational,,,,,,,,,Y,,,,,,,,,,,,,
12058,Heshima Medical Clinic (Kangundo),Eastern,Machakos,Matungulu,Matungulu,Medical Clinic,Private Enterprise (Institution),Matungulu ,Matungulu,,KANGUNDO,Matungulu,0,0,,,,,,,,,,,N,N,Unknown,,,,,,,,,,,,,,,,,,,,,,
14547,Heshima Medical Clinic (Nakuru North),Rift Valley,Nakuru,Nakuru North,Bahati,Medical Clinic,Private Practice - Nurse / Midwife,Bahati,Heshima,Heshima trading center along Nakuru - Bahati road,SUBUKIA,Heshima,0,0,,,0733566483,,P.O Box 12475,0729536702,Nakuru,02100,Magaret Wanjohi,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,Y,,Y,,,,,,,,,,,
19112,Heshima Medical Clinic-Masinga,Eastern,Machakos,Masinga,Masinga,Medical Clinic,Private Practice - Nurse / Midwife,Masinga,Masinga,,MASINGA,Masinga,0,2,,,,,,,Masinga,90141,Joyce Christopher,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18445,Hessed Clinic Masiro,Nyanza,Siaya,Siaya,Sihay,Medical Clinic,Private Practice - Nurse / Midwife,Sihay,,,UGENYA,,0,0,,,0727495385,,,,,,Wilfrida Ngware ,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
10316,Hezeman Afya Bora,Central,Kirinyaga,Kirinyaga West,Ndia East,Laboratory (Stand-alone),Private Enterprise (Institution),Mwirua,Gitaku,Situated within Baricho town,NDIA,Baricho,0,0,,,,,P.O Box 53,,Baricho,,Benjamin Munene,Medical Superintendant,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
16522,Hidaya Medical Clinic,Coast,Kilifi,Malindi,Malindi,Medical Clinic,Private Practice - Clinical Officer,Malindi,Barani,Town centre near the old Market,MALINDI,Malindi,0,0,04220491,,,,P.O Box 4,,Malindi,80200,,Clinical Officer,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19787,High Way Medical Clinic,Central,Nyandarua,Nyandarua South,N Kinangop,Medical Clinic,Private Practice - Clinical Officer,Engineer,Engineer,Olkalou-Engineer rd at Engineer town,KINANGOP,Engineer town,0,0,,,0728556240,mainanoah@yahoo.com,P.O Box 98,,N.Kinangop,,Noah Maina,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
16851,Highland Clinic,Eastern,Meru,Meru Central,Abothuguchi West,Medical Clinic,Private Enterprise (Institution),Katheri West,Kathiranga Central,,CENTRAL IMENTI,Kithaku Market,0,0,,,,,P.O Box P.O. Box 2464,,Meru,,Florence Muriithi,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
18844,Highrise Medical Services,Coast,Mombasa,Kisauni,Kisauni,Medical Clinic,Private Practice - Nurse / Midwife,Bamburi,Shanzu,"Along FelixMondial Road,opposite Railway Club",KISAUNI,Bamburi,0,0,,,0716153318,sistermachariagmail.com,P.O Box 83967,,Mombasa,80100,Margaret W.Macharia,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13363,Highway Clinic (Wajir East),North Eastern,Wajir,Wajir East,Central,Medical Clinic,Private Enterprise (Institution),Township,Township,Next to Griftu Stage,WAJIR EAST,Wajir,0,0,,,0720-871293,,P.O Box  407 Wajir,,Wajir,70200,Ibrahim Abdi,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
15895,Highway Maternity and Nursing Home,Western,Kakamega,Kakamega Central (Lurambi),Municipality,Nursing Home,Private Enterprise (Institution),Bukhungu,Shirere,,LURAMBI,Kakamege Town,0,0,,,0723-769730,,,,Kakamega,,Dr. Maleche,,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
18022,Highway Mediacl Clinic (Nyeri North),Central,Nyeri,Kieni East,Kieni East,Medical Clinic,Private Practice - Clinical Officer,Narumoru,Narumoru,,KIENI,Narumoru,0,0,,,,,P.O Box 552,,Nyeri,10100,Wilson Gitahi Mwangi,Clinical Officer,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12060,Highway Medical Clinic,Eastern,Meru,Meru Central,Abothuguchi Central,Medical Clinic,Private Enterprise (Institution),Kariene,Gitauga,Along Meru Nkubu highway,CENTRAL IMENTI,Kariene Market,0,0,,,0721-244326,,,,,,Mr.Charles Mwangi,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
16708,Highway Medical Clinic (Bungoma East),Western,Bungoma,Bungoma East,Webuye,Medical Clinic,Private Enterprise (Institution),Webuye,Webuye,,WEBUYE,Webuye,0,0,,,,,P.O Box P.O. Box 25,,Webuye,50525,Joyce  Lusenaka,Clinical Officer,N,N,Operational,,,,,,,,,Y,,,,,,,,,,,,,
10318,Highway Medical Clinic (Kirinyaga),Central,Kirinyaga,Kirinyaga Central,Central,Medical Clinic,Private Practice - Clinical Officer,Kerugoya ,Kaguyu,,KERUGOYA/KUTUS,Kerugoya,0,0,,,0722388220,,P.O Box 593,,Kerugoya,10300,Wilson Njeru,Clinical Officer,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19015,Highway Medical Clinic (Pokot Central),Rift Valley,West Pokot,Pokot Central,Sigor,Medical Clinic,Private Practice - Nurse / Midwife,Sekerr,Orwa,It is in marich centre 1/2 km East from Sigor junction Road,SIGOR,Sigor,0,0,,,,,P.O Box 362,,Kapenguria,30600,Thomas Ngolesia,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
14548,Highway Medical Clinic (Trans Nzoia East),Rift Valley,Trans Nzoia,Trans Nzoia East,Kaplamai,Medical Clinic,Private Practice - Clinical Officer,Sitatunga,Sitatunga,Along Kapenguria Road at Maili saba,KWANZA,Kitale,0,0,,020-2394909,,mohtranseast@yahoo.com,P.O Box 334,,Kitale,30200,Rotich Samuel,Clinical Officer,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
18134,Highway Medical Clinic (Wote),Eastern,Makueni,Makueni,Wote,Medical Clinic,Private Practice - Nurse / Midwife,Wote,Unoa,"Wote-MKS RD,Adjacent to Salvation Army in wote town",MAKUENI,Wote Town,0,0,,,0710177119,,P.O Box 95,,Makueni,90300,Eunice Wambui Makau,Hospital Director,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19876,Highway Medical Clinic Iten,Rift Valley,Elgeyo Marakwet,Keiyo,Kapchemutwa,Medical Clinic,Private Practice - Nurse / Midwife,Irong,Iten,Karanei Building,KEIYO NORTH,Iten,0,0,,,,,,,Iten,030700,Raphael Chelimo,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
10718,Highway Medical Clinic Kibingoti,Central,Kirinyaga,Kirinyaga West,Ndia West,Medical Clinic,Private Practice - Nurse / Midwife,Kiini North,Nguguini,"Kibingoti town, 3kms from Sagana town",NDIA,Kibingoti,0,0,,,,,P.O Box 965,,Karatina,10100,Isiah Mutugi,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
18924,Highway Medical Clinic Maua,Eastern,Meru,Igembe South,Maua,Medical Clinic,Private Practice - Clinical Officer,Maua,Amwathi,Situated in Maua town opposite KCB,IGEMBE,Maua town,0,0,,,,,P.O Box 482,,Maua,60600,Francis Kobia Itabari,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19197,Highway Medical Clinic Yatta,Eastern,Machakos,Yatta,,Medical Clinic,Private Practice - Nurse / Midwife,,,,YATTA,,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
10319,Highway Medical Enterprises,Central,Kirinyaga,Kirinyaga Central,Central,Laboratory (Stand-alone),Private Enterprise (Institution),Kerugoya ,Kaguyu,Opposite Kerugoya District hospital,KERUGOYA/KUTUS,Kerugoya,0,0,,,,,,,,,Naomi W. Maina,Medical Superintendant,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
13554,Firmview Medical Clinic,Nyanza,Nyamira,North Masaba,Rigoma,Medical Clinic,Private Enterprise (Institution),West  Kitutu,Embaro,,KITUTU MASABA,Magombo,6,0,020-2083388,,0729615855,dmohmasaba@yahoo.com,P.O Box 228,,Keroka,40202,Vincent Mosioma,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
18226,First Baptist Dispensary,Eastern,Machakos,Athi River,Athi River,Dispensary,Private Enterprise (Institution),Makadara,Makadara,,KATHIANI,Athi River,0,0,,,,,,,Athi River,,Esther Kimani,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
14498,Fitc Dispensary,Rift Valley,Nakuru,Nakuru,Municipality,Dispensary,Ministry of Health,Nakuru Town,Viwanda,,NAKURU TOWN,Nakuru Town,0,0,,,,,Please specify P.O. Box 1214,,Nakuru,20100,Elizabeth chebon,Clinical Officer,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
12943,Flack Clinic,Nairobi,Nairobi,Makadara,South B,Medical Clinic,Private Practice - Nurse / Midwife,Nairobi South,Nairobi South,Along Muchmbi Road Near Our Lady Of Peace Catholic Church South B,MAKADARA,South B Shopping Centre,0,0,,,,,,,,,Juma,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
14499,Flax Dispensary,Rift Valley,Elgeyo Marakwet,Keiyo South,Chepkorio,Dispensary,Ministry of Health,Kaptagat,Flax,,KEIYO SOUTH,Eldoret,0,0,,,0725-847939,,P.O Box 332 Iten,,Eldoret,,Paul  Cherogony,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
18472,Flomed Med Clinic,Nairobi,Nairobi,Kasarani,Kasarani,Medical Clinic,Private Practice - Nurse / Midwife,Kasarani,Kasarani,"Thika Rd, ICPE Rd opp Kasarani police station",KASARANI,"Thika Rd, ICPE Rd opp kasarani police station",0,0,,,0723712622,flomedclinic@ymail.com,P.O Box 28129,0738346454,Nairobi,00200,Floronce muraya,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18659,Florex Medical Clinic,Rift Valley,Nakuru,Nakuru,Lanet,Medical Clinic,Private Practice - Nurse / Midwife,Lanet,Mwariki B,Near Pipeline,NAKURU TOWN,Near Pipeline,1,0,,,0723142525,,P.O Box 415,0723142525,Nakuru,20100,Florence Githu,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
14500,Flourspar Health Centre,Rift Valley,Elgeyo Marakwet,Keiyo South,Soy,Health Centre,Private Enterprise (Institution),Chemoibon,Kimwarer,,KEIYO SOUTH,Iten,4,1,,,0723-203981,,,,Eldoret,,Hellen Jemeli,Nursing Officer in Charge,N,N,Operational,,,,,,,Y,,,,,,,,,,,,,,,
19807,Fly Over Health Clinic,Central,Nyandarua,Kinangop,Magumu,Medical Clinic,Private Practice - Nurse / Midwife,Bamboo,Mutonyora,,KINANGOP,Fly over,0,0,,,0716492200,,P.O Box 1973,,Nairobi,00100,Kariuki Peter Maingi,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19806,Fly Over Medical Clinic,Central,Nyandarua,Kinangop,Magumu,Medical Clinic,Private Practice - Nurse / Midwife,Bamboo,Gitwe,NBI - NKU rd at Fly over town,KINANGOP,Fly over market,0,0,,,0721231895,,P.O Box 1107,,Naivasha,,Paul Karanja,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19274,Fmily Acces Medical Centre,Nairobi,Nairobi,Kasarani,Kasarani,Medical Clinic,Private Practice - General Practitioner,Githurai,zimmerman,Thika road off kamiti road opp catholic church (base stage,KASARANI,opp catholic church (base stage),0,0,,,,,,,,,Thomas Nyakundi,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
10184,Focus Medical Clinic and Counselling Centre,Central,Kiambu,Ruiru,Githurai,Medical Clinic,Private Practice - Nurse / Midwife,Githurai,Kiuu,Near Githurai 45 DO's office behind Brainston Academy next to ACK Shalom Church,JUJA,Githurai 45,7,7,020811348,,0722703512,emmawangari72@yahoo.com,P.O Box 393,,Ruaraka,00618,Bridgit Munyira,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
19539,Focus Outreach Medical Mission,Nairobi,Nairobi,Westlands,parklands,Medical Clinic,Private Practice - Clinical Officer,parklands,,,WESTLANDS,,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
20035,Fofcom VCT,Central,Kiambu,Kiambu,Municipality,VCT Centre (Stand-Alone),Non-Governmental Organizations,Municipality,Municipality,"Along kiambu Githunguri road ,opposite Kiambu law court",KIAMBAA,Kiambu,0,0,,,,,P.O Box 1331,,Kiambu,00900,Stephen M Nganga,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12019,Forolle Dispensary,Eastern,Marsabit,Marsabit North,Turbi,Dispensary,Ministry of Health,Hurri Hills,Forolle,,NORTH HORR,North Horr,0,0,,,,,P.O Box  5,,Marsabit,60500,Alex Kimathi,Nursing Officer in Charge,N,N,Not-Operational,,,,,,,,,,,Y,,,,,,,,,,,
14501,Forttenan Sub District Hospital,Rift Valley,Kericho,Kipkelion,Chilchila,Sub-District Hospital,Ministry of Health,Chilchila,Siwot,Next to DOs Office,KIPKELION,Forttenan,18,0,,,,fortternanhospital@gmail.com,P.O Box 19,,Fortternan,20209,Mathew Cheruiyot,Clinical Officer,Y,Y,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
